Q1,T1,Tsp
77.7626048891449,45.938,51.0
77.57786691755298,46.035,51.0
76.60122201999664,46.261,51.0
76.39669815174105,46.357,51.0
76.1784136153412,46.454,51.0
75.5634789126587,46.615,51.0
75.5192314303589,46.68,51.0
75.08068545316699,46.809,51.0
74.2425975148964,47.002,51.0
74.56245444368363,47.002,51.0
73.11929692789079,47.292,51.0
73.22137903131488,47.324,51.0
73.515491634388,47.324,51.0
71.85206873975756,47.646,51.0
72.1205620411873,47.646,51.0
71.99386013931277,47.711,51.0
71.27822960556031,47.872,51.0
70.93874354104997,47.969,51.0
70.98667704057696,48.001,51.0
69.6581049941826,48.259,51.0
69.68295664953234,48.291,51.0
69.89989164871218,48.291,51.0
69.5268761103058,48.388,51.0
68.75708897129061,48.549,51.0
68.56407323793414,48.613,51.0
68.75512643459322,48.613,51.0
67.37760029623033,48.871,51.0
67.15286414571764,48.936,51.0
67.31800024709703,48.936,51.0
67.28864454427719,48.968,51.0
66.86753972097398,49.064,51.0
65.84299401639939,49.258,51.0
65.98242628297805,49.258,51.0
66.12187429868698,49.258,51.0
66.26136158754349,49.258,51.0
66.40084887639999,49.258,51.0
65.17232530874256,49.483,51.0
64.70399935735705,49.58,51.0
64.81761344121935,49.58,51.0
64.93122338117601,49.58,51.0
64.2605338655281,49.709,51.0
63.579541937923445,49.838,51.0
63.2833875924492,49.902,51.0
63.37124288061143,49.902,51.0
63.45911986539842,49.902,51.0
63.34636272638321,49.935,51.0
63.63222379472734,49.902,51.0
62.93575024501803,50.031,51.0
62.22898812038425,50.16,51.0
62.10163448528291,50.192,51.0
61.96568625167847,50.225,51.0
62.0277178998375,50.225,51.0
62.08974069360733,50.225,51.0
62.15174996189118,50.225,51.0
62.2137582841301,50.225,51.0
61.88668064947129,50.289,51.0
61.54840936857225,50.354,51.0
60.82186735029222,50.482,51.0
60.46813968225482,50.547,51.0
60.504412498073606,50.547,51.0
60.54067783140185,50.547,51.0
60.57693802375796,50.547,51.0
60.613196799106625,50.547,51.0
